,Timestamp,car-id,car-type,gate-name
1257,2015-05-05 02:05:22,20150505020522-625,4,entrance3
1258,2015-05-05 02:07:15,20150505020522-625,4,gate6
1259,2015-05-05 02:08:20,20150505020522-625,4,ranger-stop6
1260,2015-05-05 02:09:18,20150505020522-625,4,gate5
1261,2015-05-05 02:14:16,20150505020522-625,4,general-gate5
1262,2015-05-05 02:22:24,20150505020522-625,4,gate3
1263,2015-05-05 02:24:12,20150505020522-625,4,ranger-stop3
1264,2015-05-05 02:39:08,20150505020522-625,4,ranger-stop3
1265,2015-05-05 02:40:51,20150505020522-625,4,gate3
1266,2015-05-05 02:48:58,20150505020522-625,4,general-gate5
1267,2015-05-05 02:53:55,20150505020522-625,4,gate5
1268,2015-05-05 02:54:55,20150505020522-625,4,ranger-stop6
1269,2015-05-05 02:55:58,20150505020522-625,4,gate6
1270,2015-05-05 02:57:55,20150505020522-625,4,entrance3
6723,2015-05-21 02:15:18,20151521021518-235,4,entrance3
6724,2015-05-21 02:17:30,20151521021518-235,4,gate6
6725,2015-05-21 02:18:45,20151521021518-235,4,ranger-stop6
6726,2015-05-21 02:19:53,20151521021518-235,4,gate5
6727,2015-05-21 02:25:39,20151521021518-235,4,general-gate5
6728,2015-05-21 02:35:05,20151521021518-235,4,gate3
6729,2015-05-21 02:37:12,20151521021518-235,4,ranger-stop3
6730,2015-05-21 02:49:15,20151521021518-235,4,ranger-stop3
6731,2015-05-21 02:51:15,20151521021518-235,4,gate3
6733,2015-05-21 03:00:43,20151521021518-235,4,general-gate5
6734,2015-05-21 03:06:28,20151521021518-235,4,gate5
6735,2015-05-21 03:07:37,20151521021518-235,4,ranger-stop6
6736,2015-05-21 03:08:51,20151521021518-235,4,gate6
6737,2015-05-21 03:11:07,20151521021518-235,4,entrance3
11205,2015-06-02 04:47:23,20154702044723-914,4,entrance3
11207,2015-06-02 04:49:13,20154702044723-914,4,gate6
11209,2015-06-02 04:50:15,20154702044723-914,4,ranger-stop6
11210,2015-06-02 04:51:11,20154702044723-914,4,gate5
11212,2015-06-02 04:55:59,20154702044723-914,4,general-gate5
11214,2015-06-02 05:03:51,20154702044723-914,4,gate3
11216,2015-06-02 05:05:36,20154702044723-914,4,ranger-stop3
11224,2015-06-02 05:17:28,20154702044723-914,4,ranger-stop3
11226,2015-06-02 05:19:08,20154702044723-914,4,gate3
11229,2015-06-02 05:27:00,20154702044723-914,4,general-gate5
11231,2015-06-02 05:31:46,20154702044723-914,4,gate5
11232,2015-06-02 05:32:44,20154702044723-914,4,ranger-stop6
11233,2015-06-02 05:33:45,20154702044723-914,4,gate6
11234,2015-06-02 05:35:38,20154702044723-914,4,entrance3
22280,2015-06-16 04:04:41,20150416040441-902,4,entrance3
22281,2015-06-16 04:06:23,20150416040441-902,4,gate6
22282,2015-06-16 04:07:22,20150416040441-902,4,ranger-stop6
22283,2015-06-16 04:08:14,20150416040441-902,4,gate5
22284,2015-06-16 04:12:42,20150416040441-902,4,general-gate5
22285,2015-06-16 04:20:02,20150416040441-902,4,gate3
22286,2015-06-16 04:21:40,20150416040441-902,4,ranger-stop3
22291,2015-06-16 04:33:45,20150416040441-902,4,ranger-stop3
22292,2015-06-16 04:35:19,20150416040441-902,4,gate3
22293,2015-06-16 04:42:38,20150416040441-902,4,general-gate5
22295,2015-06-16 04:47:05,20150416040441-902,4,gate5
22296,2015-06-16 04:47:59,20150416040441-902,4,ranger-stop6
22297,2015-06-16 04:48:56,20150416040441-902,4,gate6
22298,2015-06-16 04:50:42,20150416040441-902,4,entrance3
30383,2015-06-25 02:29:19,20152925022919-735,4,entrance3
30384,2015-06-25 02:31:25,20152925022919-735,4,gate6
30385,2015-06-25 02:32:37,20152925022919-735,4,ranger-stop6
30386,2015-06-25 02:33:41,20152925022919-735,4,gate5
30387,2015-06-25 02:39:09,20152925022919-735,4,general-gate5
30389,2015-06-25 02:48:08,20152925022919-735,4,gate3
30390,2015-06-25 02:50:08,20152925022919-735,4,ranger-stop3
30394,2015-06-25 03:00:52,20152925022919-735,4,ranger-stop3
30395,2015-06-25 03:02:47,20152925022919-735,4,gate3
30404,2015-06-25 03:11:46,20152925022919-735,4,general-gate5
30406,2015-06-25 03:17:15,20152925022919-735,4,gate5
30408,2015-06-25 03:18:21,20152925022919-735,4,ranger-stop6
30409,2015-06-25 03:19:31,20152925022919-735,4,gate6
30412,2015-06-25 03:21:41,20152925022919-735,4,entrance3
43917,2015-07-07 04:49:11,20154907044911-419,4,entrance3
43918,2015-07-07 04:51:22,20154907044911-419,4,gate6
43919,2015-07-07 04:52:37,20154907044911-419,4,ranger-stop6
43920,2015-07-07 04:53:44,20154907044911-419,4,gate5
43921,2015-07-07 04:59:27,20154907044911-419,4,general-gate5
43923,2015-07-07 05:08:52,20154907044911-419,4,gate3
43924,2015-07-07 05:10:57,20154907044911-419,4,ranger-stop3
43927,2015-07-07 05:22:01,20154907044911-419,4,ranger-stop3
43928,2015-07-07 05:24:00,20154907044911-419,4,gate3
43936,2015-07-07 05:33:24,20154907044911-419,4,general-gate5
43941,2015-07-07 05:39:08,20154907044911-419,4,gate5
43942,2015-07-07 05:40:17,20154907044911-419,4,ranger-stop6
43945,2015-07-07 05:41:30,20154907044911-419,4,gate6
43946,2015-07-07 05:43:46,20154907044911-419,4,entrance3
53360,2015-07-14 04:14:06,20151414041406-386,4,entrance3
53362,2015-07-14 04:16:00,20151414041406-386,4,gate6
53363,2015-07-14 04:17:05,20151414041406-386,4,ranger-stop6
53364,2015-07-14 04:18:03,20151414041406-386,4,gate5
53365,2015-07-14 04:22:59,20151414041406-386,4,general-gate5
53367,2015-07-14 04:31:05,20151414041406-386,4,gate3
53368,2015-07-14 04:32:53,20151414041406-386,4,ranger-stop3
53371,2015-07-14 04:44:53,20151414041406-386,4,ranger-stop3
53372,2015-07-14 04:46:36,20151414041406-386,4,gate3
53373,2015-07-14 04:54:43,20151414041406-386,4,general-gate5
53374,2015-07-14 04:59:39,20151414041406-386,4,gate5
53375,2015-07-14 05:00:39,20151414041406-386,4,ranger-stop6
53376,2015-07-14 05:01:42,20151414041406-386,4,gate6
53377,2015-07-14 05:03:39,20151414041406-386,4,entrance3
63777,2015-07-23 04:39:10,20153923043910-954,4,entrance3
63779,2015-07-23 04:41:23,20153923043910-954,4,gate6
63780,2015-07-23 04:42:38,20153923043910-954,4,ranger-stop6
63781,2015-07-23 04:43:46,20153923043910-954,4,gate5
63785,2015-07-23 04:49:32,20153923043910-954,4,general-gate5
63788,2015-07-23 04:59:01,20153923043910-954,4,gate3
63789,2015-07-23 05:01:08,20153923043910-954,4,ranger-stop3
63793,2015-07-23 05:15:34,20153923043910-954,4,ranger-stop3
63796,2015-07-23 05:17:35,20153923043910-954,4,gate3
63799,2015-07-23 05:27:04,20153923043910-954,4,general-gate5
63801,2015-07-23 05:32:50,20153923043910-954,4,gate5
63803,2015-07-23 05:34:00,20153923043910-954,4,ranger-stop6
63804,2015-07-23 05:35:14,20153923043910-954,4,gate6
63806,2015-07-23 05:37:31,20153923043910-954,4,entrance3
78832,2015-08-04 02:01:18,20150104020118-228,4,entrance3
78833,2015-08-04 02:03:05,20150104020118-228,4,gate6
78834,2015-08-04 02:04:05,20150104020118-228,4,ranger-stop6
78835,2015-08-04 02:05:00,20150104020118-228,4,gate5
78836,2015-08-04 02:09:38,20150104020118-228,4,general-gate5
78837,2015-08-04 02:17:15,20150104020118-228,4,gate3
78838,2015-08-04 02:18:57,20150104020118-228,4,ranger-stop3
78839,2015-08-04 02:29:24,20150104020118-228,4,ranger-stop3
78840,2015-08-04 02:31:01,20150104020118-228,4,gate3
78841,2015-08-04 02:38:38,20150104020118-228,4,general-gate5
78842,2015-08-04 02:43:16,20150104020118-228,4,gate5
78843,2015-08-04 02:44:12,20150104020118-228,4,ranger-stop6
78844,2015-08-04 02:45:11,20150104020118-228,4,gate6
78845,2015-08-04 02:47:00,20150104020118-228,4,entrance3
95064,2015-08-20 02:15:56,20151520021556-881,4,entrance3
95065,2015-08-20 02:18:04,20151520021556-881,4,gate6
95066,2015-08-20 02:19:17,20151520021556-881,4,ranger-stop6
95067,2015-08-20 02:20:23,20151520021556-881,4,gate5
95069,2015-08-20 02:25:58,20151520021556-881,4,general-gate5
95070,2015-08-20 02:35:07,20151520021556-881,4,gate3
95071,2015-08-20 02:37:10,20151520021556-881,4,ranger-stop3
95073,2015-08-20 02:47:51,20151520021556-881,4,ranger-stop3
95074,2015-08-20 02:49:48,20151520021556-881,4,gate3
95075,2015-08-20 02:58:58,20151520021556-881,4,general-gate5
95076,2015-08-20 03:04:33,20151520021556-881,4,gate5
95077,2015-08-20 03:05:40,20151520021556-881,4,ranger-stop6
95078,2015-08-20 03:06:52,20151520021556-881,4,gate6
95079,2015-08-20 03:09:05,20151520021556-881,4,entrance3
107225,2015-09-01 04:49:10,20154901044910-777,4,entrance3
107226,2015-09-01 04:50:58,20154901044910-777,4,gate6
107227,2015-09-01 04:51:59,20154901044910-777,4,ranger-stop6
107228,2015-09-01 04:52:54,20154901044910-777,4,gate5
107229,2015-09-01 04:57:35,20154901044910-777,4,general-gate5
107230,2015-09-01 05:05:17,20154901044910-777,4,gate3
107231,2015-09-01 05:07:00,20154901044910-777,4,ranger-stop3
107233,2015-09-01 05:21:05,20154901044910-777,4,ranger-stop3
107234,2015-09-01 05:22:43,20154901044910-777,4,gate3
107237,2015-09-01 05:30:23,20154901044910-777,4,general-gate5
107240,2015-09-01 05:35:04,20154901044910-777,4,gate5
107241,2015-09-01 05:36:00,20154901044910-777,4,ranger-stop6
107242,2015-09-01 05:37:00,20154901044910-777,4,gate6
107243,2015-09-01 05:38:50,20154901044910-777,4,entrance3
118206,2015-09-15 03:14:50,20151415031450-923,4,entrance3
118208,2015-09-15 03:16:55,20151415031450-923,4,gate6
118209,2015-09-15 03:18:05,20151415031450-923,4,ranger-stop6
118210,2015-09-15 03:19:08,20151415031450-923,4,gate5
118213,2015-09-15 03:24:30,20151415031450-923,4,general-gate5
118215,2015-09-15 03:33:19,20151415031450-923,4,gate3
118217,2015-09-15 03:35:17,20151415031450-923,4,ranger-stop3
118233,2015-09-15 03:50:06,20151415031450-923,4,ranger-stop3
118234,2015-09-15 03:51:58,20151415031450-923,4,gate3
118237,2015-09-15 04:00:47,20151415031450-923,4,general-gate5
118239,2015-09-15 04:06:10,20151415031450-923,4,gate5
118240,2015-09-15 04:07:14,20151415031450-923,4,ranger-stop6
118242,2015-09-15 04:08:23,20151415031450-923,4,gate6
118244,2015-09-15 04:10:29,20151415031450-923,4,entrance3
130116,2015-10-01 03:12:45,20151201031245-77,4,entrance3
130117,2015-10-01 03:14:51,20151201031245-77,4,gate6
130118,2015-10-01 03:16:02,20151201031245-77,4,ranger-stop6
130119,2015-10-01 03:17:06,20151201031245-77,4,gate5
130120,2015-10-01 03:22:34,20151201031245-77,4,general-gate5
130122,2015-10-01 03:31:33,20151201031245-77,4,gate3
130123,2015-10-01 03:33:33,20151201031245-77,4,ranger-stop3
130125,2015-10-01 03:47:01,20151201031245-77,4,ranger-stop3
130127,2015-10-01 03:48:56,20151201031245-77,4,gate3
130128,2015-10-01 03:57:53,20151201031245-77,4,general-gate5
130130,2015-10-01 04:03:21,20151201031245-77,4,gate5
130131,2015-10-01 04:04:26,20151201031245-77,4,ranger-stop6
130132,2015-10-01 04:05:36,20151201031245-77,4,gate6
130134,2015-10-01 04:07:46,20151201031245-77,4,entrance3
135247,2015-10-20 03:09:17,20150920030917-854,4,entrance3
135249,2015-10-20 03:11:10,20150920030917-854,4,gate6
135250,2015-10-20 03:12:15,20150920030917-854,4,ranger-stop6
135252,2015-10-20 03:13:13,20150920030917-854,4,gate5
135254,2015-10-20 03:18:08,20150920030917-854,4,general-gate5
135256,2015-10-20 03:26:13,20150920030917-854,4,gate3
135257,2015-10-20 03:28:01,20150920030917-854,4,ranger-stop3
135260,2015-10-20 03:40:57,20150920030917-854,4,ranger-stop3
135261,2015-10-20 03:42:40,20150920030917-854,4,gate3
135262,2015-10-20 03:50:46,20150920030917-854,4,general-gate5
135264,2015-10-20 03:55:41,20150920030917-854,4,gate5
135265,2015-10-20 03:56:41,20150920030917-854,4,ranger-stop6
135266,2015-10-20 03:57:44,20150920030917-854,4,gate6
135267,2015-10-20 03:59:40,20150920030917-854,4,entrance3
139542,2015-11-12 03:11:19,20151112031119-409,4,entrance3
139543,2015-11-12 03:13:23,20151112031119-409,4,gate6
139544,2015-11-12 03:14:33,20151112031119-409,4,ranger-stop6
139545,2015-11-12 03:15:36,20151112031119-409,4,gate5
139546,2015-11-12 03:20:56,20151112031119-409,4,general-gate5
139547,2015-11-12 03:29:44,20151112031119-409,4,gate3
139548,2015-11-12 03:31:41,20151112031119-409,4,ranger-stop3
139550,2015-11-12 03:44:41,20151112031119-409,4,ranger-stop3
139551,2015-11-12 03:46:33,20151112031119-409,4,gate3
139552,2015-11-12 03:55:19,20151112031119-409,4,general-gate5
139555,2015-11-12 04:00:41,20151112031119-409,4,gate5
139556,2015-11-12 04:01:45,20151112031119-409,4,ranger-stop6
139558,2015-11-12 04:02:53,20151112031119-409,4,gate6
139561,2015-11-12 04:05:00,20151112031119-409,4,entrance3
142034,2015-12-01 02:52:45,20155201025245-696,4,entrance3
142035,2015-12-01 02:54:29,20155201025245-696,4,gate6
142036,2015-12-01 02:55:28,20155201025245-696,4,ranger-stop6
142037,2015-12-01 02:56:21,20155201025245-696,4,gate5
142038,2015-12-01 03:00:51,20155201025245-696,4,general-gate5
142039,2015-12-01 03:08:14,20155201025245-696,4,gate3
142040,2015-12-01 03:09:53,20155201025245-696,4,ranger-stop3
142041,2015-12-01 03:23:00,20155201025245-696,4,ranger-stop3
142042,2015-12-01 03:24:34,20155201025245-696,4,gate3
142043,2015-12-01 03:31:57,20155201025245-696,4,general-gate5
142044,2015-12-01 03:36:27,20155201025245-696,4,gate5
142045,2015-12-01 03:37:21,20155201025245-696,4,ranger-stop6
142046,2015-12-01 03:38:18,20155201025245-696,4,gate6
142047,2015-12-01 03:40:05,20155201025245-696,4,entrance3
144197,2015-12-24 03:28:30,20152824032830-251,4,entrance3
144198,2015-12-24 03:30:43,20152824032830-251,4,gate6
144199,2015-12-24 03:31:59,20152824032830-251,4,ranger-stop6
144200,2015-12-24 03:33:07,20152824032830-251,4,gate5
144201,2015-12-24 03:38:56,20152824032830-251,4,general-gate5
144202,2015-12-24 03:48:28,20152824032830-251,4,gate3
144203,2015-12-24 03:50:36,20152824032830-251,4,ranger-stop3
144204,2015-12-24 04:03:32,20152824032830-251,4,ranger-stop3
144205,2015-12-24 04:05:33,20152824032830-251,4,gate3
144206,2015-12-24 04:15:06,20152824032830-251,4,general-gate5
144207,2015-12-24 04:20:54,20152824032830-251,4,gate5
144208,2015-12-24 04:22:04,20152824032830-251,4,ranger-stop6
144209,2015-12-24 04:23:18,20152824032830-251,4,gate6
144210,2015-12-24 04:25:36,20152824032830-251,4,entrance3
146667,2016-01-19 03:22:29,20162219032229-226,4,entrance3
146668,2016-01-19 03:24:13,20162219032229-226,4,gate6
146669,2016-01-19 03:25:12,20162219032229-226,4,ranger-stop6
146670,2016-01-19 03:26:06,20162219032229-226,4,gate5
146671,2016-01-19 03:30:40,20162219032229-226,4,general-gate5
146672,2016-01-19 03:38:10,20162219032229-226,4,gate3
146673,2016-01-19 03:39:50,20162219032229-226,4,ranger-stop3
146674,2016-01-19 03:51:16,20162219032229-226,4,ranger-stop3
146675,2016-01-19 03:52:52,20162219032229-226,4,gate3
146676,2016-01-19 04:00:22,20162219032229-226,4,general-gate5
146677,2016-01-19 04:04:56,20162219032229-226,4,gate5
146678,2016-01-19 04:05:51,20162219032229-226,4,ranger-stop6
146679,2016-01-19 04:06:49,20162219032229-226,4,gate6
146680,2016-01-19 04:08:37,20162219032229-226,4,entrance3
150019,2016-02-16 03:30:37,20163016033037-38,4,entrance3
150021,2016-02-16 03:32:21,20163016033037-38,4,gate6
150022,2016-02-16 03:33:20,20163016033037-38,4,ranger-stop6
150023,2016-02-16 03:34:14,20163016033037-38,4,gate5
150024,2016-02-16 03:38:48,20163016033037-38,4,general-gate5
150026,2016-02-16 03:46:17,20163016033037-38,4,gate3
150027,2016-02-16 03:47:57,20163016033037-38,4,ranger-stop3
150029,2016-02-16 04:00:46,20163016033037-38,4,ranger-stop3
150030,2016-02-16 04:02:22,20163016033037-38,4,gate3
150032,2016-02-16 04:09:51,20163016033037-38,4,general-gate5
150033,2016-02-16 04:14:25,20163016033037-38,4,gate5
150034,2016-02-16 04:15:20,20163016033037-38,4,ranger-stop6
150035,2016-02-16 04:16:18,20163016033037-38,4,gate6
150037,2016-02-16 04:18:05,20163016033037-38,4,entrance3
151936,2016-03-01 03:24:10,20162401032410-101,4,entrance3
151937,2016-03-01 03:26:04,20162401032410-101,4,gate6
151938,2016-03-01 03:27:09,20162401032410-101,4,ranger-stop6
151939,2016-03-01 03:28:08,20162401032410-101,4,gate5
151940,2016-03-01 03:33:08,20162401032410-101,4,general-gate5
151941,2016-03-01 03:41:19,20162401032410-101,4,gate3
151942,2016-03-01 03:43:08,20162401032410-101,4,ranger-stop3
151943,2016-03-01 03:56:19,20162401032410-101,4,ranger-stop3
151944,2016-03-01 03:58:03,20162401032410-101,4,gate3
151945,2016-03-01 04:06:15,20162401032410-101,4,general-gate5
151946,2016-03-01 04:11:14,20162401032410-101,4,gate5
151947,2016-03-01 04:12:14,20162401032410-101,4,ranger-stop6
151948,2016-03-01 04:13:18,20162401032410-101,4,gate6
151949,2016-03-01 04:15:16,20162401032410-101,4,entrance3
161583,2016-05-03 03:50:05,20165003035005-470,4,entrance3
161585,2016-05-03 03:52:08,20165003035005-470,4,gate6
161586,2016-05-03 03:53:18,20165003035005-470,4,ranger-stop6
161588,2016-05-03 03:54:21,20165003035005-470,4,gate5
161589,2016-05-03 03:59:43,20165003035005-470,4,general-gate5
161592,2016-05-03 04:08:32,20165003035005-470,4,gate3
161594,2016-05-03 04:10:30,20165003035005-470,4,ranger-stop3
161598,2016-05-03 04:23:38,20165003035005-470,4,ranger-stop3
161599,2016-05-03 04:25:30,20165003035005-470,4,gate3
161600,2016-05-03 04:34:19,20165003035005-470,4,general-gate5
161602,2016-05-03 04:39:41,20165003035005-470,4,gate5
161603,2016-05-03 04:40:45,20165003035005-470,4,ranger-stop6
161604,2016-05-03 04:41:54,20165003035005-470,4,gate6
161605,2016-05-03 04:44:00,20165003035005-470,4,entrance3
166896,2016-05-19 04:24:11,20162419042411-322,4,entrance3
166897,2016-05-19 04:26:18,20162419042411-322,4,gate6
166898,2016-05-19 04:27:29,20162419042411-322,4,ranger-stop6
166899,2016-05-19 04:28:34,20162419042411-322,4,gate5
166900,2016-05-19 04:34:02,20162419042411-322,4,general-gate5
166902,2016-05-19 04:43:03,20162419042411-322,4,gate3
166903,2016-05-19 04:45:03,20162419042411-322,4,ranger-stop3
166905,2016-05-19 04:55:33,20162419042411-322,4,ranger-stop3
166906,2016-05-19 04:57:28,20162419042411-322,4,gate3
166910,2016-05-19 05:06:28,20162419042411-322,4,general-gate5
166911,2016-05-19 05:11:58,20162419042411-322,4,gate5
166912,2016-05-19 05:13:04,20162419042411-322,4,ranger-stop6
166914,2016-05-19 05:14:14,20162419042411-322,4,gate6
166916,2016-05-19 05:16:25,20162419042411-322,4,entrance3
171111,2016-05-31 02:45:45,20164531024545-131,4,entrance3
171112,2016-05-31 02:47:37,20164531024545-131,4,gate6
171113,2016-05-31 02:48:40,20164531024545-131,4,ranger-stop6
171114,2016-05-31 02:49:37,20164531024545-131,4,gate5
171116,2016-05-31 02:54:25,20164531024545-131,4,general-gate5
171120,2016-05-31 03:02:20,20164531024545-131,4,gate3
171121,2016-05-31 03:04:05,20164531024545-131,4,ranger-stop3
171124,2016-05-31 03:18:38,20164531024545-131,4,ranger-stop3
171125,2016-05-31 03:20:18,20164531024545-131,4,gate3
171126,2016-05-31 03:28:12,20164531024545-131,4,general-gate5
171128,2016-05-31 03:33:01,20164531024545-131,4,gate5
171129,2016-05-31 03:33:59,20164531024545-131,4,ranger-stop6
171130,2016-05-31 03:35:00,20164531024545-131,4,gate6
171131,2016-05-31 03:36:54,20164531024545-131,4,entrance3
